filename, D_total_true, D_total_pred, error, raw_pred_vector
Gen_R4_000.pt, 1.0000, 0.9945, 0.005500, "[ 0.99 -0.05 -0.01 -0.06]"
Gen_R4_001.pt, 1.4142, 1.3948, 0.019402, "[ 1.   -0.03  0.01  0.97]"
Gen_R4_002.pt, 1.0000, 1.0007, 0.000737, "[ 0.99  0.05 -0.   -0.11]"
Gen_R4_003.pt, 1.4142, 1.4113, 0.002891, "[ 1.01 -0.   -0.01  0.99]"
Gen_R4_004.pt, 1.0000, 0.9926, 0.007382, "[ 0.99 -0.02 -0.02 -0.02]"
Gen_R4_005.pt, 1.4142, 1.3863, 0.027934, "[ 0.99 -0.01 -0.01  0.97]"
Gen_R4_006.pt, 1.0000, 0.9941, 0.005914, "[ 0.99  0.   -0.03 -0.01]"
Gen_R4_007.pt, 1.4142, 1.4149, 0.000638, "[ 1.   -0.   -0.01  1.  ]"
Gen_R4_008.pt, 1.4142, 1.3938, 0.020372, "[ 1.   -0.01 -0.01  0.97]"
Gen_R4_009.pt, 1.4142, 1.3578, 0.056416, "[ 1.   -0.01 -0.02  0.92]"
Gen_R4_010.pt, 1.4142, 1.4119, 0.002317, "[ 1.    0.01 -0.    0.99]"
Gen_R4_011.pt, 1.4142, 1.3838, 0.030405, "[ 1.   -0.01  0.    0.95]"
Gen_R4_012.pt, 1.0000, 0.9873, 0.012685, "[ 0.99 -0.01 -0.04 -0.04]"
Gen_R4_013.pt, 1.0000, 0.9831, 0.016944, "[ 0.98  0.02  0.02 -0.  ]"
Gen_R4_014.pt, 1.0000, 0.9970, 0.002971, "[ 1.   -0.02 -0.01 -0.03]"
Gen_R4_015.pt, 1.0000, 0.9935, 0.006490, "[ 0.99 -0.01  0.03 -0.01]"
Gen_R4_016.pt, 1.4142, 1.3707, 0.043535, "[ 0.98 -0.02 -0.    0.95]"
Gen_R4_017.pt, 1.4142, 1.3845, 0.029683, "[ 0.98 -0.02 -0.    0.98]"
Gen_R4_018.pt, 1.4142, 1.3493, 0.064885, "[ 1.   -0.02 -0.02  0.9 ]"
Gen_R4_019.pt, 1.4142, 1.3741, 0.040084, "[ 1.   -0.03 -0.01  0.94]"
Gen_R4_020.pt, 1.0000, 1.0007, 0.000663, "[ 1.   -0.04 -0.03 -0.01]"
Gen_R4_021.pt, 1.7321, 1.7535, 0.021449, "[1.   0.01 1.02 1.02]"
Gen_R4_022.pt, 1.7321, 1.6902, 0.041836, "[ 1.   -0.04  0.96  0.97]"
Gen_R4_023.pt, 1.0000, 0.9869, 0.013061, "[ 0.99 -0.   -0.06 -0.01]"
Gen_R4_024.pt, 1.7321, 1.7232, 0.008849, "[0.99 0.01 1.   0.99]"
Gen_R4_025.pt, 1.7321, 1.6815, 0.050567, "[ 0.99 -0.04  0.95  0.97]"
Gen_R4_026.pt, 1.4142, 1.3602, 0.054038, "[ 1.   -0.01  0.92  0.  ]"
Gen_R4_027.pt, 1.4142, 1.3826, 0.031620, "[ 1.    0.01  0.96 -0.01]"
Gen_R4_028.pt, 1.4142, 1.3784, 0.035847, "[ 1.   -0.01  0.95 -0.01]"
Gen_R4_029.pt, 1.4142, 1.3538, 0.060412, "[ 0.99 -0.09  0.88  0.28]"
Gen_R4_030.pt, 1.4142, 1.3827, 0.031558, "[ 1.   -0.01  0.96 -0.01]"
Gen_R4_031.pt, 1.7321, 1.7176, 0.014482, "[ 1.   -0.02  0.99  0.99]"
Gen_R4_032.pt, 1.7321, 1.7077, 0.024301, "[1.   0.   0.98 0.98]"
Gen_R4_033.pt, 2.1490, 2.1451, 0.003820, "[ 0.99 -0.    0.98  1.63]"
Gen_R4_034.pt, 1.7321, 1.7257, 0.006318, "[ 0.99 -0.03  1.    1.  ]"
Gen_R4_035.pt, 1.7321, 1.7046, 0.027477, "[ 1.   -0.05  1.02  0.93]"
Gen_R4_036.pt, 1.7321, 1.6937, 0.038335, "[ 0.99 -0.04  0.96  0.98]"
Gen_R4_037.pt, 1.7321, 1.6744, 0.057647, "[ 0.99 -0.02  0.95  0.96]"
Gen_R4_038.pt, 1.4142, 1.3545, 0.059750, "[ 0.99 -0.03  0.93 -0.  ]"
Gen_R4_039.pt, 1.7321, 1.6996, 0.032427, "[ 1.   -0.02  0.97  0.98]"
Gen_R4_040.pt, 1.7321, 1.7039, 0.028147, "[ 0.99 -0.03  0.97  0.99]"
Gen_R4_041.pt, 2.1490, 2.1238, 0.025190, "[ 0.99 -0.02  0.96  1.62]"
Gen_R4_042.pt, 1.4142, 1.3570, 0.057241, "[ 0.99 -0.02  0.92 -0.  ]"
Gen_R4_043.pt, 1.4142, 1.3925, 0.021695, "[ 0.99 -0.    0.98  0.01]"
Gen_R4_044.pt, 2.1490, 2.1051, 0.043889, "[ 0.99 -0.02  1.58  0.98]"
Gen_R4_045.pt, 3.0000, 2.9477, 0.052284, "[ 0.99 -0.03  1.97  1.96]"
Gen_R4_046.pt, 1.4142, 1.3438, 0.070437, "[ 0.98  0.    0.91 -0.  ]"
Gen_R4_047.pt, 3.0000, 2.8951, 0.104863, "[ 0.98 -0.05  1.91  1.95]"
Gen_R4_048.pt, 1.0000, 1.0013, 0.001275, "[ 1.   -0.02 -0.02 -0.04]"
Gen_R4_049.pt, 1.4142, 1.3955, 0.018751, "[ 1.   -0.03  0.01  0.98]"
Gen_R4_050.pt, 1.0000, 1.0049, 0.004853, "[1.   0.04 0.   0.04]"
Gen_R4_051.pt, 1.4142, 1.4122, 0.002030, "[ 1.   -0.01  0.    1.  ]"
Gen_R4_052.pt, 1.0000, 0.9964, 0.003613, "[ 1.   -0.   -0.03 -0.01]"
Gen_R4_053.pt, 1.0000, 1.0189, 0.018879, "[ 1.02 -0.01  0.04  0.01]"
Gen_R4_054.pt, 1.0000, 1.0050, 0.005022, "[ 1.   -0.03 -0.04 -0.01]"
Gen_R4_055.pt, 1.7321, 1.7272, 0.004826, "[ 1.   -0.02  1.    0.99]"
Gen_R4_056.pt, 1.7321, 1.7154, 0.016640, "[ 1.   -0.03  0.99  0.98]"
Gen_R4_057.pt, 1.0000, 0.9975, 0.002484, "[ 1.   -0.03 -0.04 -0.04]"
Gen_R4_058.pt, 1.7321, 1.7196, 0.012405, "[ 1.   -0.01  1.    0.98]"
Gen_R4_059.pt, 1.7321, 1.6884, 0.043698, "[ 1.   -0.03  0.97  0.96]"
Gen_R4_060.pt, 1.4142, 1.4078, 0.006393, "[ 1.   -0.03  0.99 -0.02]"
Gen_R4_061.pt, 1.4142, 1.4076, 0.006597, "[ 1.    0.01  0.99 -0.01]"
Gen_R4_062.pt, 1.4142, 1.3942, 0.019997, "[ 1.   -0.01  0.97 -0.03]"
Gen_R4_063.pt, 1.4142, 1.3679, 0.046316, "[ 1.   -0.06  0.91  0.2 ]"
Gen_R4_064.pt, 1.4142, 1.3733, 0.040896, "[ 1.    0.    0.94 -0.04]"
Gen_R4_065.pt, 1.7321, 1.7132, 0.018873, "[ 1.   -0.02  1.    0.97]"
Gen_R4_066.pt, 1.7321, 1.7176, 0.014438, "[ 1.   -0.02  1.    0.97]"
Gen_R4_067.pt, 2.1490, 2.1415, 0.007482, "[ 1.   -0.    0.98  1.62]"
Gen_R4_068.pt, 1.4142, 1.3571, 0.057151, "[ 1.   -0.03  0.92 -0.02]"
Gen_R4_069.pt, 1.7321, 1.7483, 0.016258, "[ 1.   -0.05  1.03  1.  ]"
Gen_R4_070.pt, 1.7321, 1.6916, 0.040484, "[ 1.   -0.01  0.97  0.96]"
Gen_R4_071.pt, 1.7321, 1.6911, 0.040991, "[ 0.99 -0.05  0.94  0.99]"
Gen_R4_072.pt, 1.7321, 1.7020, 0.030049, "[ 0.99 -0.03  0.98  0.97]"
Gen_R4_073.pt, 1.7321, 1.7117, 0.020360, "[ 1.   -0.04  0.97  0.99]"
Gen_R4_074.pt, 1.7321, 1.6918, 0.040242, "[ 1.   -0.03  0.97  0.96]"
Gen_R4_075.pt, 1.4142, 1.3771, 0.037140, "[ 1.   -0.02  0.95 -0.  ]"
Gen_R4_076.pt, 1.4142, 1.3618, 0.052447, "[ 0.99 -0.01  0.93 -0.  ]"
Gen_R4_077.pt, 2.1490, 2.0994, 0.049533, "[ 0.99 -0.    1.58  0.96]"
Gen_R4_078.pt, 3.0000, 2.9559, 0.044120, "[ 0.99 -0.01  1.97  1.97]"
Gen_R4_079.pt, 1.4142, 1.3547, 0.059560, "[ 0.99 -0.02  0.92 -0.03]"
Gen_R4_080.pt, 2.1490, 2.0660, 0.082967, "[ 0.98 -0.04  1.55  0.95]"
