Scanning 853 files for known physical phases...

FILENAME                            | D_VEC                               | ID
------------------------------------------------------------------------------------------
Gen_R4_000.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_001.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_002.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_003.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_004.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_005.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_006.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_007.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_008.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_009.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_010.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_011.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_012.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_013.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_014.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_015.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_016.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_017.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_018.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_019.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_020.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_021.pt                       | [1. 0. 1. 1.]                       | Unknown/Trivial
Gen_R4_022.pt                       | [1. 0. 1. 1.]                       | Unknown/Trivial
Gen_R4_023.pt                       | [1. 0. 0. 0.]                       | Unknown/Trivial
Gen_R4_024.pt                       | [1. 0. 1. 1.]                       | Unknown/Trivial
Gen_R4_025.pt                       | [1. 0. 1. 1.]                       | Unknown/Trivial
Gen_R4_026.pt                       | [1. 0. 1. 0.]                       | Unknown/Trivial
Gen_R4_027.pt                       | [1. 0. 1. 0.]                       | Unknown/Trivial
Gen_R4_028.pt                       | [1. 0. 1. 0.]                       | Unknown/Trivial
Gen_R4_029.pt                       | [1. 0. 0. 1.]                       | Unknown/Trivial
Gen_R4_030.pt                       | [1. 0. 1. 0.]                       | Unknown/Trivial
Gen_R4_031.pt                       | [1. 0. 1. 1.]                       | Unknown/Trivial
Gen_R4_032.pt                       | [1. 0. 1. 1.]                       | Unknown/Trivial
Gen_R4_033.pt                       | [1.    0.    1.    1.618]           | Non-Abelian
